host,ip,port,protocol,base_protocol,title,domain,server,link
seg.nju.edu.cn,202.119.32.33,80,http,tcp,SEG,nju.edu.cn,,http://seg.nju.edu.cn
https://sgjxgl.scvtc.edu.cn,2001:da8:6013:1::5,443,https,tcp,Apache Tomcat/8.5.60,scvtc.edu.cn,rump/d,https://sgjxgl.scvtc.edu.cn
https://idp.ylu.edu.cn,210.36.247.112,443,https,tcp,Apache Tomcat/8.5.72,ylu.edu.cn,,https://idp.ylu.edu.cn
status.szu.edu.cn,2001:da8:2d00:204::a,80,http,tcp,,szu.edu.cn,none,http://status.szu.edu.cn
face.xynu.edu.cn:8080,210.43.25.108,8080,http,tcp,大门态势,xynu.edu.cn,,http://face.xynu.edu.cn:8080
crcx.ccufe.edu.cn:8080,42.247.38.136,8080,http,tcp,大门态势,ccufe.edu.cn,,http://crcx.ccufe.edu.cn:8080
https://status.szu.edu.cn,2001:da8:2d00:204::a,443,https,tcp,,szu.edu.cn,none,https://status.szu.edu.cn
https://zjcinfo.jit.edu.cn,221.226.37.164,443,https,tcp,Apache Tomcat/9.0.62,jit.edu.cn,rums/b,https://zjcinfo.jit.edu.cn
https://scholar.scau.edu.cn,2001:da8:2004:1005:192:168:242:8,443,https,tcp,Title,scau.edu.cn,,https://scholar.scau.edu.cn
https://xhkjzyxy.edu.cn:18088,120.211.98.242,18088,https,tcp,统一身份认证,xhkjzyxy.edu.cn,nginx,https://xhkjzyxy.edu.cn:18088
https://lqcx.fjut.edu.cn,2001:250:6804:6::52,443,https,tcp,录取查询 - 福建理工大学普通本科招生信息网,fjut.edu.cn,openresty,https://lqcx.fjut.edu.cn
https://zypt.neusoft.edu.cn,219.216.131.82,443,https,tcp,Coming Soon...,neusoft.edu.cn,nginx/1.26.3,https://zypt.neusoft.edu.cn
zypt.neusoft.edu.cn,219.216.131.82,80,http,tcp,Coming Soon...,neusoft.edu.cn,nginx/1.26.3,http://zypt.neusoft.edu.cn
https://sso-lib.ynu.edu.cn:8082,113.55.8.9,8082,https,tcp,开发项目菜单,ynu.edu.cn,,https://sso-lib.ynu.edu.cn:8082
https://kyxt.hut.edu.cn,218.75.197.123,443,https,tcp,Tomcat,hut.edu.cn,rump/c,https://kyxt.hut.edu.cn
zbpt.njust.edu.cn,2001:da8:100e:80::178,80,http,tcp," 南京理工大学招投标办公室 - 首页",njust.edu.cn,none,http://zbpt.njust.edu.cn
https://zbpt.njust.edu.cn,2001:da8:100e:80::178,443,https,tcp," 南京理工大学招投标办公室 - 首页",njust.edu.cn,none,https://zbpt.njust.edu.cn
